ID продукта,Название продукта,Категория,Цена,Рейтинг,Количество отзывов,Количество на складе,Скидка,Продажи,Дата добавления,Город
87,Кофеварка,Дом и кухня,408.32,5.0,1460,22,0.38,676,2023-11-23,Madison
88,Тостер,Дом и кухня,195.15,2.0,2048,50,0.14,1795,2023-08-29,Fort Worth
89,Тостер,Дом и кухня,185.5,1.5,249,673,0.24,770,2023-08-11,Grand Rapids
90,Кофеварка,Дом и кухня,410.03,4.9,3037,733,0.4,400,2024-02-21,Tulsa
91,Микроволновка,Дом и кухня,24.1,4.0,3981,577,0.4,102,2023-12-03,Omaha
92,Кофеварка,Дом и кухня,490.43,3.4,1358,858,0.05,1331,2023-10-07,San Francisco
93,Тостер,Дом и кухня,230.95,4.6,4637,758,0.26,80,2024-01-31,Portland
94,Блендер,Дом и кухня,82.07,4.7,2832,507,0.03,68,2024-05-09,El Paso
95,Тостер,Дом и кухня,251.38,2.3,3818,42,0.12,1906,2024-02-22,Houston
96,Блендер,Дом и кухня,235.46,3.3,3445,911,0.32,359,2023-12-11,Houston
97,Блендер,Дом и кухня,449.43,2.9,4188,671,0.09,633,2024-04-22,Concord
98,Микроволновка,Дом и кухня,412.68,2.4,4777,828,0.02,837,2024-06-11,Charlotte
99,Блендер,Дом и кухня,235.78,1.8,2593,944,0.25,1836,2024-03-31,Pittsburgh
100,Тостер,Дом и кухня,401.71,3.5,2286,55,0.44,830,2024-04-25,Los Angeles
101,Блендер,Дом и кухня,11.27,4.5,2055,624,0.3,1715,2023-11-18,Tucson
102,Микроволновка,Дом и кухня,191.53,2.9,4569,27,0.18,1239,2024-01-10,Washington
103,Тостер,Дом и кухня,82.39,1.5,1646,918,0.26,1774,2023-09-12,San Diego
104,Тостер,Дом и кухня,183.53,2.6,4580,27,0.01,1976,2023-09-13,Tulsa
105,Микроволновка,Дом и кухня,53.71,3.1,4632,144,0.17,24,2024-04-05,Boston
106,Тостер,Дом и кухня,396.69,3.0,2158,227,0.27,33,2024-02-22,Madison
107,Кофеварка,Дом и кухня,297.4,3.3,2472,612,0.18,1305,2023-07-28,Detroit
108,Тостер,Дом и кухня,129.73,3.0,3812,376,0.12,661,2023-09-09,Oklahoma City
109,Тостер,Дом и кухня,189.02,3.0,3421,842,0.04,349,2024-03-09,Fort Worth
110,Кофеварка,Дом и кухня,449.42,1.3,242,542,0.21,547,2023-11-02,New York
111,Тостер,Дом и кухня,204.95,4.9,3,846,0.41,880,2024-03-10,Baltimore
112,Кофеварка,Дом и кухня,364.22,4.3,4289,846,0.27,1049,2023-12-22,Tucson
113,Кофеварка,Дом и кухня,110.49,4.9,1810,723,0.25,112,2024-01-24,Columbia
114,Микроволновка,Дом и кухня,356.54,4.1,1573,804,0.25,1534,2023-06-22,Albany
115,Блендер,Дом и кухня,270.97,1.2,4785,9,0.27,1673,2023-12-23,Allentown
116,Тостер,Дом и кухня,167.95,4.2,320,318,0.34,784,2023-09-21,Grand Rapids
117,Микроволновка,Дом и кухня,241.85,3.4,3490,605,0.05,1604,2023-07-30,Phoenix
118,Кофеварка,Дом и кухня,482.86,1.5,375,458,0.47,587,2024-05-08,Albany
119,Блендер,Дом и кухня,373.15,3.3,3850,872,0.38,1851,2023-08-31,Madison
120,Микроволновка,Дом и кухня,90.49,4.3,77,409,0.45,600,2023-10-19,Orlando
121,Биография,Книги,202.3,4.3,1318,615,0.19,1714,2024-02-08,Denver
122,Биография,Книги,274.49,2.8,992,664,0.18,1006,2023-08-08,Sacramento
123,Фэнтези книга,Книги,122.22,3.2,197,645,0.17,1202,2024-05-01,Port St. Lucie
124,Фэнтези книга,Книги,91.7,4.5,2035,477,0.45,419,2024-01-07,Pittsburgh
125,Биография,Книги,378.68,3.8,950,288,0.02,597,2023-07-26,Staten Island
126,Биография,Книги,252.05,4.0,2853,908,0.06,227,2023-11-09,Chicago
127,Фэнтези книга,Книги,204.67,4.2,3228,46,0.2,1708,2024-02-03,Charlotte
128,Научная книга,Книги,324.16,3.8,793,810,0.3,1683,2024-06-01,Des Moines
129,Биография,Книги,455.14,3.3,4807,22,0.23,301,2023-06-15,San Francisco
130,Фэнтези книга,Книги,456.81,1.6,3281,984,0.13,1639,2023-08-01,Fort Worth
131,Научная книга,Книги,466.74,3.3,2935,804,0.35,1129,2024-03-12,Tulsa
132,Научная книга,Книги,307.29,2.7,3533,295,0.42,778,2023-09-29,Manhattan
133,Биография,Книги,125.59,1.7,1205,982,0.46,1854,2024-04-18,St. Louis
134,Научная книга,Книги,299.72,2.6,1332,136,0.1,312,2024-02-16,Portland
135,Биография,Книги,173.41,2.6,536,601,0.46,385,2023-11-15,Port St. Lucie
136,Научная книга,Книги,371.38,2.8,954,875,0.46,1205,2024-01-12,Fresno
137,Роман,Книги,254.2,2.7,4380,62,0.14,665,2024-01-08,Denton
138,Биография,Книги,335.13,1.7,3432,688,0.28,341,2024-04-10,Boise
139,Роман,Книги,100.39,2.2,1759,140,0.2,434,2023-11-14,Chicago
140,Биография,Книги,110.52,1.8,4524,476,0.24,1447,2024-05-24,Charlotte
141,Биография,Книги,154.08,3.9,3057,193,0.27,1136,2024-02-19,Bronx
142,Биография,Книги,284.22,1.6,3335,924,0.04,1666,2023-08-29,Denver
143,Биография,Книги,142.66,3.6,3451,992,0.01,1499,2023-08-29,Los Angeles
144,Биография,Книги,434.83,2.6,4408,758,0.13,442,2023-10-01,Detroit
145,Роман,Книги,301.57,2.4,3300,578,0.44,1627,2023-09-22,Louisville
146,Биография,Книги,404.6,5.0,1311,119,0.4,1935,2023-12-30,New York
147,Биография,Книги,110.44,2.2,943,977,0.01,774,2024-01-03,Port St. Lucie
148,Научная книга,Книги,425.58,1.5,914,547,0.32,81,2024-06-10,Little Rock
149,Роман,Книги,410.55,2.4,4841,385,0.18,1142,2024-05-23,Little Rock
150,Роман,Книги,179.14,4.1,3577,853,0.39,592,2023-11-23,Jacksonville
151,Биография,Книги,248.84,4.6,4223,735,0.21,1138,2023-11-16,Wichita
152,Биография,Книги,373.43,3.8,1304,358,0.11,1301,2023-10-21,Orlando
153,Биография,Книги,492.36,3.1,3180,609,0.14,74,2023-07-22,Los Angeles
154,Биография,Книги,269.53,4.3,40,933,0.03,1700,2024-01-11,Port St. Lucie
155,Биография,Книги,416.57,1.8,341,980,0.13,1310,2024-01-30,Salt Lake City
156,Научная книга,Книги,302.73,3.4,454,905,0.46,921,2023-12-05,St. Louis
157,Биография,Книги,216.8,2.4,1386,704,0.04,1315,2023-09-04,Baltimore
158,Роман,Книги,200.75,2.2,1136,186,0.15,1250,2023-08-07,Tucson
159,Биография,Книги,204.36,4.8,4501,68,0.24,1785,2024-05-07,Baltimore
160,Научная книга,Книги,138.51,3.4,3920,957,0.48,481,2023-11-24,Provo
161,Настольная игра,Игрушки и игры,242.38,2.4,2343,16,0.21,60,2024-02-29,Queens
162,Настольная игра,Игрушки и игры,235.24,1.3,3569,228,0.0,1458,2024-03-02,Milwaukee
163,Настольная игра,Игрушки и игры,60.52,2.3,4090,816,0.07,329,2024-04-16,Denver
164,Пазл,Игрушки и игры,265.44,1.3,3663,215,0.38,660,2024-03-23,Cape Coral
165,Пазл,Игрушки и игры,364.81,3.5,3726,570,0.49,1900,2024-05-17,Tampa
166,Пазл,Игрушки и игры,31.64,3.4,400,918,0.28,1109,2023-10-06,Dayton
167,Пазл,Игрушки и игры,26.63,3.8,4232,882,0.46,1521,2023-08-02,Atlanta
168,Пазл,Игрушки и игры,399.72,4.0,2419,934,0.23,1466,2024-03-01,Mission Viejo
169,Фигурка,Игрушки и игры,328.58,2.5,2667,187,0.24,130,2023-08-24,Harrisburg
170,Пазл,Игрушки и игры,176.54,3.9,4459,38,0.16,496,2024-06-08,Harrisburg
171,Фигурка,Игрушки и игры,334.21,4.0,4111,492,0.31,893,2023-08-06,Riverside
172,Пазл,Игрушки и игры,436.35,1.1,4854,780,0.26,1439,2024-03-08,Boston
173,Пазл,Игрушки и игры,44.31,1.0,4124,957,0.04,317,2023-10-11,Milwaukee
174,Игрушечная машина,Игрушки и игры,317.48,4.5,1262,376,0.38,920,2023-06-19,El Paso
175,Игрушечная машина,Игрушки и игры,371.42,2.0,2050,428,0.18,1693,2023-07-24,Mesa
176,Настольная игра,Игрушки и игры,124.47,1.2,704,948,0.49,584,2023-08-12,Baltimore
177,Фигурка,Игрушки и игры,343.03,1.9,2041,804,0.39,938,2023-11-27,Raleigh
178,Пазл,Игрушки и игры,440.77,4.8,10,61,0.31,1176,2023-11-26,Nashville
179,Игрушечная машина,Игрушки и игры,41.84,2.6,884,242,0.26,1353,2024-02-26,Tulsa
180,Настольная игра,Игрушки и игры,198.2,1.1,2553,258,0.41,1540,2023-09-25,Akron
181,Настольная игра,Игрушки и игры,484.86,4.5,3170,19,0.5,1596,2023-12-17,Houston
182,Настольная игра,Игрушки и игры,351.05,1.6,4255,738,0.11,1143,2024-03-15,New Orleans
183,Фигурка,Игрушки и игры,448.51,4.4,1290,616,0.2,634,2024-05-14,Albuquerque
184,Фигурка,Игрушки и игры,31.74,4.4,4265,520,0.16,1560,2023-09-25,Miami
185,Пазл,Игрушки и игры,52.62,2.6,974,37,0.13,1924,2023-12-19,Miami
186,Настольная игра,Игрушки и игры,270.98,4.8,1711,972,0.45,972,2024-03-23,Jacksonville
187,Настольная игра,Игрушки и игры,252.62,2.9,2396,114,0.41,1591,2024-05-03,Buffalo
188,Настольная игра,Игрушки и игры,276.45,4.5,1312,261,0.26,335,2023-12-27,Boise
189,Игрушечная машина,Игрушки и игры,426.79,4.5,1704,780,0.42,1368,2023-12-14,San Francisco
190,Настольная игра,Игрушки и игры,61.86,3.8,4795,6,0.44,556,2023-08-03,Charlotte
191,Фигурка,Игрушки и игры,24.33,4.3,2719,362,0.11,1574,2024-03-22,Virginia Beach
192,Игрушечная машина,Игрушки и игры,282.53,4.0,1547,294,0.1,1548,2024-04-27,Providence
193,Пазл,Игрушки и игры,490.78,3.5,4795,447,0.27,674,2023-07-22,Ogden
194,Пазл,Игрушки и игры,382.9,3.2,1247,993,0.17,571,2023-07-13,Allentown
195,Настольная игра,Игрушки и игры,379.31,4.2,1887,483,0.03,730,2023-12-03,New Haven
196,Фигурка,Игрушки и игры,387.78,3.8,885,704,0.03,1143,2023-11-15,Albany
197,Настольная игра,Игрушки и игры,495.17,3.7,4811,675,0.32,947,2024-06-05,Detroit
198,Фигурка,Игрушки и игры,20.84,2.3,3999,946,0.13,1561,2023-10-30,Albany
199,Фигурка,Игрушки и игры,472.71,1.4,38,270,0.4,156,2024-03-29,Albuquerque
200,Игрушечная машина,Игрушки и игры,421.57,4.1,3155,21,0.07,1730,2023-07-11,Cincinnati
201,Рыбий жир,Витамины и добавки,84.02,2.7,4116,302,0.21,1978,2024-03-20,Spokane
202,Рыбий жир,Витамины и добавки,382.45,2.8,4665,891,0.36,1185,2024-01-01,El Paso
203,Протеиновый порошок,Витамины и добавки,435.38,3.9,1809,270,0.24,1562,2024-04-01,Columbus
204,Протеиновый порошок,Витамины и добавки,100.91,4.5,3380,519,0.39,1709,2024-04-23,New York
205,Протеиновый порошок,Витамины и добавки,18.75,4.2,692,535,0.46,898,2024-04-27,Cleveland
206,Витамин D,Витамины и добавки,245.95,1.5,3344,893,0.34,1763,2024-06-03,McAllen
207,Рыбий жир,Витамины и добавки,120.51,1.6,116,385,0.4,394,2024-04-09,Knoxville
208,Мультивитамины,Витамины и добавки,83.29,2.9,2013,319,0.2,1518,2024-03-09,Spokane
209,Рыбий жир,Витамины и добавки,152.91,3.8,2043,101,0.45,778,2023-11-11,Columbus
210,Витамин D,Витамины и добавки,61.42,2.0,2936,45,0.07,591,2023-08-07,San Diego
211,Рыбий жир,Витамины и добавки,113.07,2.4,935,927,0.47,1888,2024-06-10,Charleston
212,Мультивитамины,Витамины и добавки,53.05,2.4,917,102,0.07,870,2024-03-14,Milwaukee
213,Рыбий жир,Витамины и добавки,349.67,4.3,105,886,0.34,1895,2023-07-31,San Francisco
214,Витамин D,Витамины и добавки,449.15,3.4,3144,358,0.31,552,2023-11-21,Detroit
215,Протеиновый порошок,Витамины и добавки,474.2,3.5,1107,317,0.31,382,2024-06-05,Wichita
216,Витамин D,Витамины и добавки,448.46,3.2,3385,21,0.23,514,2024-02-06,New Haven
217,Мультивитамины,Витамины и добавки,90.36,2.8,2134,523,0.08,1324,2023-10-13,McAllen
218,Рыбий жир,Витамины и добавки,171.22,2.9,4780,903,0.44,308,2023-12-12,Sacramento
219,Протеиновый порошок,Витамины и добавки,254.12,3.2,661,548,0.5,872,2024-04-14,Charleston
220,Витамин D,Витамины и добавки,49.95,2.6,4540,92,0.21,1230,2023-06-25,Spokane
221,Витамин D,Витамины и добавки,236.69,4.5,158,953,0.37,403,2023-08-24,Akron
222,Протеиновый порошок,Витамины и добавки,370.32,4.1,955,151,0.27,946,2024-03-08,Atlanta
223,Мультивитамины,Витамины и добавки,224.92,3.9,3811,577,0.3,931,2023-09-24,Queens
224,Витамин D,Витамины и добавки,145.65,3.4,1269,636,0.11,1260,2024-05-25,Denver
225,Протеиновый порошок,Витамины и добавки,419.64,1.9,4889,519,0.2,477,2024-03-17,Baltimore
226,Рыбий жир,Витамины и добавки,126.4,4.9,374,292,0.43,1004,2024-05-02,Columbus
227,Рыбий жир,Витамины и добавки,57.72,2.6,13,503,0.29,1107,2024-02-03,New York
228,Витамин D,Витамины и добавки,90.13,2.6,2040,27,0.13,1252,2023-09-25,Jacksonville
229,Витамин D,Витамины и добавки,298.32,3.4,4396,918,0.23,1418,2024-06-02,Birmingham
230,Витамин D,Витамины и добавки,226.59,2.3,2891,861,0.07,132,2023-09-10,McAllen
231,Протеиновый порошок,Витамины и добавки,312.4,3.8,575,885,0.08,1144,2024-02-26,St. Louis
232,Мультивитамины,Витамины и добавки,184.8,3.1,2352,496,0.35,1847,2024-01-08,Staten Island
233,Витамин D,Витамины и добавки,435.45,1.8,956,915,0.13,1665,2023-08-24,Hartford
234,Протеиновый порошок,Витамины и добавки,35.33,3.6,1058,197,0.09,1082,2023-07-23,Spokane
235,Мультивитамины,Витамины и добавки,258.55,1.2,4585,275,0.49,1239,2023-10-05,Dayton
236,Витамин D,Витамины и добавки,18.52,2.3,3868,184,0.29,1207,2023-12-17,Orlando
237,Витамин D,Витамины и добавки,336.76,1.6,4403,335,0.47,891,2024-06-04,McAllen
238,Рыбий жир,Витамины и добавки,102.29,3.9,4612,494,0.09,1825,2023-12-02,Hartford
239,Витамин D,Витамины и добавки,489.53,2.5,3485,113,0.12,1561,2024-01-28,Columbia
240,Витамин D,Витамины и добавки,289.6,1.1,1863,344,0.34,800,2024-06-11,Grand Rapids
241,Солнцезащитный крем,Уход за кожей,471.03,4.3,1327,68,0.29,1981,2023-11-05,Palm Bay
242,Средство для умывания,Уход за кожей,499.71,1.2,3232,680,0.5,780,2024-03-31,Chicago
243,Увлажняющий крем,Уход за кожей,287.84,4.0,1347,609,0.2,493,2024-02-01,McAllen
244,Средство для умывания,Уход за кожей,224.7,4.6,1000,278,0.22,1354,2024-02-04,Palm Bay
245,Тоник,Уход за кожей,155.47,3.6,2772,654,0.32,710,2024-01-21,Portland
246,Увлажняющий крем,Уход за кожей,196.41,3.2,1440,304,0.27,290,2024-03-02,Cleveland
247,Средство для умывания,Уход за кожей,297.66,1.7,2889,961,0.23,1026,2024-03-19,New York
248,Средство для умывания,Уход за кожей,476.22,4.4,1947,628,0.41,664,2024-05-31,Bronx
249,Увлажняющий крем,Уход за кожей,205.42,3.3,3371,739,0.3,943,2023-07-05,Provo
250,Средство для умывания,Уход за кожей,375.97,3.9,1004,20,0.1,1014,2023-07-12,Colorado Springs
251,Солнцезащитный крем,Уход за кожей,44.93,4.8,714,50,0.03,788,2024-01-23,Omaha
252,Средство для умывания,Уход за кожей,105.33,1.7,963,372,0.14,1562,2024-01-07,Miami
253,Солнцезащитный крем,Уход за кожей,270.81,3.3,105,419,0.36,1,2024-03-27,Sacramento
254,Тоник,Уход за кожей,413.36,3.1,1286,350,0.43,1062,2024-01-05,Cleveland
255,Солнцезащитный крем,Уход за кожей,154.69,4.2,444,297,0.46,1107,2023-09-23,San Juan
256,Средство для умывания,Уход за кожей,279.61,1.2,2938,140,0.3,1141,2023-09-09,Orlando
257,Средство для умывания,Уход за кожей,300.83,4.2,9,983,0.21,1660,2023-12-25,Denton
258,Тоник,Уход за кожей,387.27,3.2,4954,292,0.15,663,2024-05-24,Spokane
259,Тоник,Уход за кожей,217.63,3.7,145,914,0.31,992,2023-10-14,Mesa
260,Увлажняющий крем,Уход за кожей,92.33,3.9,1249,672,0.11,661,2023-08-24,Oklahoma City
261,Солнцезащитный крем,Уход за кожей,122.82,1.8,1546,649,0.13,1100,2023-10-02,Portland
262,Увлажняющий крем,Уход за кожей,494.01,1.5,3729,834,0.22,636,2023-12-28,Minneapolis
263,Увлажняющий крем,Уход за кожей,349.29,5.0,4795,301,0.05,1241,2024-03-02,Austin
264,Средство для умывания,Уход за кожей,453.71,4.1,4131,743,0.32,1699,2024-03-31,Phoenix
265,Тоник,Уход за кожей,189.81,2.4,3046,707,0.22,827,2024-02-03,Bakersfield
266,Тоник,Уход за кожей,402.17,1.9,2823,229,0.3,66,2023-08-17,Riverside
267,Увлажняющий крем,Уход за кожей,233.86,1.8,2774,171,0.33,1232,2023-08-26,Reno
268,Средство для умывания,Уход за кожей,228.71,2.3,661,811,0.04,452,2023-07-15,Omaha
269,Увлажняющий крем,Уход за кожей,348.1,1.8,207,617,0.05,632,2024-04-18,Orlando
270,Тоник,Уход за кожей,10.61,2.2,3719,979,0.24,1565,2023-10-19,Albany
271,Солнцезащитный крем,Уход за кожей,205.66,1.6,1540,979,0.46,363,2023-07-27,Sacramento
272,Увлажняющий крем,Уход за кожей,339.06,1.4,4551,742,0.43,1012,2023-09-14,Cleveland
273,Тоник,Уход за кожей,393.19,3.8,3725,803,0.15,113,2023-10-19,Tampa
274,Средство для умывания,Уход за кожей,196.65,2.4,2496,842,0.41,1725,2024-01-10,Raleigh
275,Тоник,Уход за кожей,437.93,1.6,405,938,0.29,1339,2024-03-03,Mesa
276,Тоник,Уход за кожей,112.17,4.7,4137,677,0.41,1826,2024-01-06,Dallas
277,Тоник,Уход за кожей,270.92,3.9,3138,847,0.11,1549,2024-03-31,Miami
278,Солнцезащитный крем,Уход за кожей,207.46,1.7,4225,930,0.17,1811,2023-09-30,Richmond
279,Средство для умывания,Уход за кожей,413.02,1.5,4259,94,0.24,1133,2023-07-12,Milwaukee
280,Средство для умывания,Уход за кожей,416.37,2.3,2530,936,0.41,1676,2024-02-16,Sacramento
281,Тушь для ресниц,Косметика,43.4,1.1,536,78,0.48,1979,2024-05-31,Akron
282,Румяна,Косметика,69.8,3.4,542,845,0.44,988,2023-08-01,Columbus
283,Помада,Косметика,324.0,1.9,4349,129,0.33,466,2023-08-30,Palm Bay
284,Помада,Косметика,286.58,1.8,4737,381,0.5,1276,2024-04-17,Albany
285,Помада,Косметика,492.0,2.0,4244,328,0.39,1517,2023-09-23,Akron
286,Румяна,Косметика,348.89,3.5,1638,551,0.41,1382,2023-08-09,Atlanta
287,Тональный крем,Косметика,315.71,3.1,3302,689,0.07,1651,2023-12-04,Oklahoma City
288,Тушь для ресниц,Косметика,330.5,2.4,2139,981,0.41,1764,2024-03-18,Detroit
289,Тональный крем,Косметика,15.41,2.7,2293,741,0.13,649,2023-08-03,New York
290,Румяна,Косметика,272.3,1.9,2009,241,0.31,1716,2023-07-10,Madison
291,Тональный крем,Косметика,480.19,3.0,3042,496,0.27,702,2023-08-09,Providence
292,Румяна,Косметика,58.06,3.0,545,563,0.12,593,2023-10-24,Jacksonville
293,Помада,Косметика,194.19,2.6,3493,553,0.39,396,2024-02-20,Columbia
294,Тональный крем,Косметика,60.05,3.6,424,128,0.4,1583,2024-05-14,Milwaukee
295,Тональный крем,Косметика,422.03,1.2,2279,788,0.41,758,2023-08-27,Richmond
